becca1811	money deposited spymaster account swiss bank	0.167 0.167 0.167 0.167 0.167 0.167	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
brudny	colbert editor guest newsweek stephen	0.200 0.200 0.200 0.200 0.200	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
coachdoug	alexkaris class resource point college walks	0.167 0.167 0.167 0.167 0.167 0.167	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
dfinanciero	meganoticias acto asistencia mica rcito	0.200 0.200 0.200 0.200 0.200	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
hullrobin	will software renewal contract ollielloyd tethering	0.167 0.167 0.167 0.167 0.167 0.167	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
irzhy	apple nokia iphone	0.333 0.333 0.333	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
jessicalynns	going work	0.500 0.500	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
msdanielachante	women official cheese mouth promoted mascot referring	0.143 0.143 0.143 0.143 0.143 0.143 0.143	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
samdrade	encararia vivianavieira gato ivan horrores lins	0.167 0.167 0.167 0.167 0.167 0.167	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
wumr	visit wumr radiotagr redman song boogielastic joshua	0.143 0.143 0.143 0.143 0.143 0.143 0.143	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
theroyaltytr	followers holla	0.500 0.500	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
pylup	heart groove	0.500 0.500	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
woxy_live	wallpaper	1.000	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
danielaesanto	pedro sapo night procura para envia banda fernandes late	0.091 0.091 0.091 0.091 0.182 0.091 0.091 0.091 0.182	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
denise_sinc	blog post fiddling	0.333 0.333 0.333	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
jalapeno	best anticlimatic better blipstars feel	0.200 0.200 0.200 0.200 0.200	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
msbrooks2u	urbanslang mind smutty played	0.250 0.250 0.250 0.250	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
